Ticker,52W_High_Ratio,52W_ROC,26W_High_Ratio,26W_ROC,RS52W,RS52W_13W,RS26W,RS26W_4W,Trend_Ratio,Stop_Loss_Pct,g_Daily_Pct,g_1000_Daily_Pct,Risk_Reward_10D,RS_Uptrend,MA_Uptrend,MA_Day_Uptrend,MA_Week_Uptrend,ITrend_Uptrend,Buy_Signal
NITCO.NS,0.89,3.54,0.89,0.92,0.95,0.93,0.88,0.92,140.9,36.31,0.4553,0.2037,0.13,True,True,True,True,False,False
MCX.NS,0.99,2.33,0.99,0.93,0.93,0.85,0.88,0.82,140.92,35.4,0.3347,0.181,0.09,True,True,True,True,True,False
BALRAMCHIN.NS,0.93,0.47,0.93,0.51,0.51,0.3,0.75,0.72,140.92,24.43,0.1575,0.1135,0.06,False,True,True,True,False,False
ALPSINDUS.NS,0.83,1.05,0.83,0.89,0.77,0.68,0.87,0.88,141.1,28.04,0.2887,0.1005,0.1,True,False,True,False,False,False
UNOMINDA.NS,0.88,0.79,0.88,0.71,0.68,0.67,0.82,0.84,141.11,27.92,0.2728,0.1785,0.1,False,True,True,True,False,False
HITECH.NS,0.98,1.49,0.98,0.46,0.86,0.69,0.72,0.68,141.66,33.31,0.2809,0.2447,0.08,True,True,True,True,True,False
360ONE.NS,0.91,1.16,0.91,0.71,0.8,0.74,0.82,0.83,141.68,33.4,0.3577,0.1765,0.11,True,True,True,True,True,False
MTNL.NS,0.56,1.37,0.56,0.52,0.84,0.83,0.75,0.81,141.71,27.09,0.3175,0.1848,0.12,False,True,True,True,False,False
RPGLIFE.NS,1.0,0.94,1.0,0.66,0.74,0.68,0.81,0.73,141.76,35.35,0.2916,0.2406,0.08,True,True,True,True,True,False
TIIL.NS,0.87,0.61,0.87,0.68,0.59,0.67,0.82,0.83,141.77,27.85,0.2681,0.2484,0.1,False,True,True,True,False,False
SPAL.NS,0.99,0.99,0.99,0.87,0.76,0.64,0.87,0.79,141.83,37.55,0.3341,0.2337,0.09,True,True,True,True,True,False
