Exchange,Ticker,1-Day,1-Week,1-Month,3-Month,YTD,1-Year,3-Year,5-Year,10-Year,15-Year
xnas,qubt,15.81,20.97,93.5,181.31,-17.22,,67.79,38.9,39.24,-5.09
xnas,quik,3.65,9.65,1.97,-7.94,-49.73,-53.14,-9.17,1.17,-12.77,-12.62
xnas,qvcga,4.95,-22.44,-73.5,-75.88,-80.73,-91.43,-74.44,-14.0,-17.3,-2.81
xnas,rail,5.71,5.31,22.32,17.49,-7.03,138.0,18.39,41.67,-8.89,-6.01
xnas,rain,1.26,2.39,-26.35,85.32,,,,,,
xnas,rani,5.88,0.14,-48.15,-64.56,-59.12,-87.64,-61.74,,,
xnas,rapp,,,,,,,,,,
xnas,rave,,,,,,,,,,
xnas,rare,,,,,,,,,,
xnas,rbb,3.02,0.53,8.38,-1.15,-15.13,0.85,-4.17,7.02,,
xnas,rapt,14.71,32.16,44.09,4.46,-25.95,-70.97,-57.71,-43.46,,
xnas,rbkb,-0.09,1.3,4.92,13.88,21.3,48.11,7.58,10.19,,
xnas,rbbn,3.07,9.17,18.65,-13.58,-11.3,23.41,7.75,-4.02,-7.45,-7.8
xnas,rbcaa,3.29,2.7,-0.33,7.69,1.39,42.36,17.2,16.36,12.66,9.39
xnas,rbne,0.0,0.36,15.06,,,,,,,
xnas,rcat,11.48,37.14,53.38,54.55,-36.5,822.24,59.26,46.72,-37.92,-36.48
xnas,rcel,6.26,8.72,-33.66,-26.12,-52.27,-36.15,3.63,-29.14,-0.54,
xnas,rckt,10.65,22.11,-51.43,-65.91,-75.62,-86.67,-37.93,-30.16,-18.38,
xnas,rcmt,2.95,2.01,35.6,28.86,5.37,19.56,-2.28,66.22,16.4,12.37
xnas,rcky,0.3,3.05,24.64,22.36,3.51,-37.06,-12.53,3.33,4.2,8.99
xnas,rdi,0.0,1.82,4.48,2.19,6.06,-9.09,-27.28,-20.93,-20.56,-6.76
xnas,rdnt,1.0,2.02,10.04,13.71,-16.02,-4.04,44.32,26.85,24.28,22.48
