Exchange,Ticker,1-Day,1-Week,1-Month,3-Month,YTD,1-Year,3-Year,5-Year,10-Year,15-Year
xnas,ebc,2.54,0.4,-0.2,-9.17,-12.0,16.13,-5.85,,,
xnas,ebmt,0.36,-1.83,-6.6,-3.54,10.53,31.23,-2.8,1.05,6.69,5.53
xnas,ebtc,3.09,3.76,4.27,1.03,2.43,69.48,8.8,12.34,9.3,11.32
xnas,ecbk,0.63,-2.22,-1.3,6.0,7.08,28.66,,,,
xnas,ecda,-8.29,-5.14,2.18,-50.4,-66.36,-70.38,,,,
xnas,ecor,6.9,14.6,-17.79,-60.43,-64.65,-13.96,-12.59,-21.6,,
xnas,ecpg,3.11,1.35,16.39,7.17,-19.59,-9.86,-14.08,0.6,-0.19,4.73
xnas,edbl,-2.23,-24.21,24.64,17.94,-67.28,-94.87,-95.36,,,
xnas,edit,6.11,11.05,43.61,7.3,50.39,-64.83,-45.17,-40.98,,
xnas,educ,2.23,-0.55,4.48,0.93,-18.03,-17.53,-34.15,-23.09,1.21,2.27
xnas,eeft,1.95,3.32,6.92,14.04,8.78,-1.2,-2.45,-1.1,6.52,15.57
xnas,eeiq,-6.9,-9.4,-25.0,-36.47,-48.08,-45.99,-33.42,,,
xnas,efoi,-5.32,-8.78,10.55,-28.08,57.14,10.65,-44.47,-47.1,-38.68,-29.32
xnas,efsc,2.46,-0.11,0.57,-6.31,-5.73,41.38,6.56,10.68,10.62,13.08
xnas,efsi,-0.49,-2.95,3.21,-4.69,-14.34,5.97,-1.69,5.94,5.88,6.65
xnas,egan,-2.55,6.31,14.14,16.7,-8.03,-3.37,-14.45,-11.01,1.96,14.22
xnas,egbn,3.15,-1.53,-5.15,-19.38,-32.16,5.57,-23.18,-7.97,-4.95,5.88
xnas,eght,2.26,10.37,3.43,-21.3,-32.21,-29.57,-36.83,-34.26,-14.53,1.87
xnas,ehld,1.78,3.62,10.35,,,,,,,
xnas,ehth,1.42,4.88,-8.12,-48.13,-54.26,-17.62,-27.53,-48.45,-9.99,-6.82
xnas,ekso,-0.93,-5.74,-34.26,-29.35,-53.33,-74.69,-46.98,-44.02,-45.04,
xnas,elab,0.93,3.83,-10.33,-57.13,-86.46,-99.76,,,,
xnas,elbm,6.8,10.15,1.38,-29.94,-40.68,-37.71,-58.76,-32.61,,
xnas,eldn,3.36,2.67,7.32,-19.16,-25.24,13.24,0.22,-20.24,-47.6,
xnas,elev,4.85,6.6,-5.49,-37.39,-43.14,-91.31,-47.01,,,
xnas,else,-1.26,5.08,2.06,-7.89,-17.65,5.33,-4.13,4.94,-0.15,1.34
xnas,eltx,4.82,8.3,52.63,-1.76,53.53,-3.09,,,,
xnas,elut,4.4,5.56,1.06,-25.49,-49.2,-44.12,-33.12,,,
xnas,elvn,-2.95,16.71,5.33,-3.36,-7.82,2.67,,,,
xnas,embc,-1.9,-7.03,-18.59,-22.83,-51.14,-18.89,-25.66,,,
xnas,eml,6.22,5.41,3.27,-12.71,-10.32,-14.94,5.51,5.18,3.66,5.38
xnas,ensc,1.71,7.21,9.68,-54.23,-70.76,-70.98,-89.19,,,
xnas,ensg,0.45,3.48,14.09,18.21,14.74,28.45,24.39,26.62,20.87,21.78
xnas,enta,3.61,25.97,47.92,4.04,29.91,-40.43,-43.52,-31.82,-15.89,
xnas,ento,5.69,19.95,46.31,-7.14,-16.4,-79.37,-92.51,-89.35,,
xnas,envb,3.17,10.17,7.44,-32.29,-75.82,-88.67,-79.71,-81.25,-69.4,-48.38
xnas,envx,3.49,9.06,36.45,0.36,-23.55,-22.84,-14.74,,,
xnas,eols,3.08,9.25,-13.52,-25.63,-9.06,-19.03,-7.63,13.0,,
xnas,eose,-2.04,-7.69,-23.81,-15.23,-20.99,456.52,26.88,,,
xnas,epix,0.0,1.79,-0.58,3.01,-4.47,-70.62,-30.21,-19.63,-36.07,
xnas,eprx,0.0,1.55,-2.96,3.14,24.29,48.12,49.89,,,
xnas,eq,4.8,-2.56,3.37,-51.9,-49.21,-57.63,-46.6,-33.67,,
xnas,eqix,0.52,2.88,5.0,5.42,-2.02,22.22,11.57,7.89,14.72,18.07
xnas,eras,1.91,14.29,28.0,12.68,-36.25,-32.06,-33.74,,,
xnas,erie,1.19,3.68,2.94,-17.07,-9.17,4.08,30.68,16.44,17.83,16.21
xnas,erii,1.36,0.16,-15.12,-19.4,-14.08,-6.31,-16.34,7.13,15.97,9.58
xnas,erna,-1.1,-17.43,-13.46,-38.88,-38.78,-91.18,-75.5,,,
xnas,esca,-0.46,1.35,-0.13,1.74,7.42,16.2,8.91,8.85,0.76,10.41
xnas,esea,0.67,6.57,17.42,37.62,25.11,22.5,15.0,76.25,0.77,-6.06
xnas,esha,0.0,0.37,0.46,1.86,1.86,5.18,,,,
xnas,esla,0.48,5.5,-4.02,7.59,-11.24,14.11,,,,
xnas,esoa,-0.27,9.67,22.09,11.53,-12.6,49.26,56.57,62.04,25.22,8.38
xnas,espr,5.17,43.56,25.06,-23.27,-44.55,-50.61,-40.63,-51.48,-35.82,
xnas,esq,1.32,-0.95,3.12,24.6,13.5,93.85,34.12,37.83,,
xnas,essa,2.81,1.41,-1.06,-6.0,-3.59,13.84,8.08,8.02,6.17,4.76
xnas,etnb,2.91,4.17,32.26,23.35,31.07,26.62,41.87,-14.8,,
xnas,eton,-2.38,-10.85,1.26,16.7,26.43,362.64,79.54,25.45,,
xnas,etsy,1.74,15.28,41.45,35.91,20.65,-3.64,-8.69,-4.11,15.56,
xnas,eu,0.0,6.47,31.29,29.7,-37.24,-50.92,-9.95,31.72,38.94,
xnas,evcm,0.2,2.5,2.91,8.69,-6.81,7.32,2.56,,,
xnas,ever,3.09,10.07,9.45,-2.54,26.91,8.6,43.09,-14.95,,
xnas,evgo,5.26,1.27,8.99,59.36,-1.23,87.79,-24.57,,,
xnas,evlv,4.15,1.1,32.69,69.33,39.75,114.79,26.14,,,
xnas,evok,-14.84,-16.9,-10.61,-27.05,-33.26,-54.89,-53.08,-61.86,-42.4,
xnas,evrg,0.26,-1.76,-4.83,1.29,8.16,27.1,1.14,4.13,9.55,10.17
xnas,evtv,-1.43,6.72,-23.37,-24.81,-83.47,-85.61,-67.87,-34.4,,
xnas,ewbc,2.98,3.36,8.8,6.1,-0.31,33.57,10.96,20.34,9.21,13.96
xnas,ewcz,4.76,14.54,79.94,3.0,-12.59,-50.72,-37.89,,,
xnas,ewtx,2.83,6.72,5.98,-45.82,-42.92,-13.46,36.06,,,
xnas,exas,0.9,-2.51,1.63,17.65,-2.35,22.83,5.53,-8.75,6.78,18.67
xnas,exc,-0.56,-2.74,-7.06,0.33,15.36,20.97,-1.04,10.0,7.94,5.19
xnas,exe,1.54,1.05,8.68,23.13,19.04,35.49,9.2,,,
xnas,exel,1.56,-0.02,16.74,12.61,29.22,94.0,31.83,13.98,29.08,15.31
xnas,exfy,2.19,5.43,-18.25,-37.87,-30.45,57.43,-51.25,,,
xnas,exls,2.02,4.35,2.83,2.63,8.13,64.97,17.24,29.37,21.22,19.48
xnas,exoz,-1.79,0.26,24.92,-6.89,-18.57,,,,,
xnas,expe,1.83,5.88,7.42,-3.87,-4.82,47.41,9.97,13.77,5.57,11.81
xnas,expi,1.38,3.64,2.42,-10.21,-22.42,-18.21,-13.56,10.41,34.34,
xnas,expo,0.71,1.79,3.35,-5.89,-12.45,-17.12,-3.82,0.99,14.6,18.06
xnas,extr,1.65,6.13,17.2,13.44,-0.66,43.12,18.36,26.67,20.21,12.69
xnas,eye,0.81,6.16,57.76,79.44,101.82,44.64,-9.21,-7.93,,
xnas,eyen,55.41,192.22,373.79,199.39,-58.22,-92.18,-69.73,-53.93,,
xnas,eypt,8.36,23.48,43.04,31.09,20.0,-3.56,1.3,1.71,-13.76,-9.28
xnas,ezpw,1.69,-1.56,-10.18,-0.75,8.35,27.06,18.93,15.47,5.52,-1.96
xnas,fa,0.22,6.13,22.6,35.39,-2.99,11.0,10.6,,,
xnas,fang,2.26,4.47,7.26,1.19,-12.98,-23.68,1.75,26.68,8.2,
xnas,farm,2.63,1.96,-13.33,-40.68,-13.33,-46.02,-31.67,-30.41,-24.12,-13.66
xnas,faro,0.0,0.12,0.14,42.59,67.27,137.12,10.17,-6.77,-0.29,4.17
xnas,fast,1.74,1.74,7.16,8.62,18.19,33.99,17.57,16.51,16.35,14.77
xnas,fat,3.8,12.33,-8.21,-23.13,-15.04,-15.94,-5.97,13.97,,
xnas,fatbb,8.15,-3.45,-10.16,-16.83,9.55,-0.39,-2.95,,,
xnas,fate,19.4,32.23,67.05,53.85,-3.03,-57.89,-58.26,-43.67,-12.81,
xnas,fatn,-3.65,-2.46,7.65,,,,,,,
xnas,fbio,6.38,5.82,14.94,31.58,-1.23,12.36,-47.39,-46.24,-27.29,
xnas,fbiz,2.56,-1.58,-0.23,-1.57,4.95,43.63,12.88,23.89,9.32,17.52
xnas,fbla,1.38,-1.07,-1.25,-3.07,-7.3,,,,,
xnas,fblg,11.92,31.05,7.31,-14.64,-52.2,-90.73,,,,
xnas,ftdr,1.74,5.33,8.42,42.25,5.98,58.83,34.17,5.36,,
xnas,ftft,6.36,-15.83,-19.86,-47.39,-62.25,-84.35,-63.39,-54.11,-45.89,-39.4
xnas,fthm,-1.57,4.17,38.89,49.52,-18.3,-32.61,-51.1,,,
xnas,ftlf,-1.04,-2.25,-8.03,-2.52,-12.21,-5.07,38.6,56.36,20.32,8.43
xnas,ftnt,1.39,3.1,-2.05,3.17,11.07,75.63,20.89,30.15,29.02,32.63
xnas,ftre,3.13,22.79,-4.17,-50.61,-71.69,-80.88,,,,
xnas,fult,2.53,1.1,2.11,-4.55,-8.61,10.27,7.12,10.5,5.88,6.44
xnas,fusb,0.0,0.68,-0.04,-5.78,0.99,23.01,6.87,12.3,5.42,1.12
xnas,fvcb,0.97,-2.14,-2.48,7.24,-9.23,3.73,-11.3,4.64,4.39,
xnas,fwona,1.06,1.85,8.17,5.25,6.79,36.88,16.25,20.67,12.68,
xnas,fwonk,1.02,2.54,8.33,6.98,6.82,38.61,16.67,22.1,13.5,
xnas,fwrd,0.48,11.38,11.58,-8.83,-42.05,-3.41,-41.13,-16.51,-7.49,-0.11
xnas,fwrg,0.07,-3.3,-2.61,-20.2,-19.77,-20.92,-1.16,,,
xnas,fxnc,0.41,-2.48,1.82,-14.23,-13.04,30.22,2.13,8.89,9.67,4.08
xnas,fybr,-0.17,0.06,-0.68,0.69,4.47,38.46,10.56,,,
xnas,gabc,1.78,0.09,0.36,-1.0,-3.46,23.81,3.17,5.65,9.07,11.0
